n,encuestadora,fecha,muestra,tasa_respuesta,alejandro_gaviria,sergio_fajardo,juan_m_galan,ingrid_betancourt,alex_char,david_barguil,enrique_penalosa,federico_gutierrez,oscar_i_zuluaga,rodolfo_hernandez,gustavo_petro,otros,blanco,ns_nr,margen_error,fuente,link,muestreo,hipotesis,tipo,muestra_int_voto,municipios
0,GAD3,2022-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,44.8,NA,2.7,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,45.1,NA,2.6,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,45.6,NA,4,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,46.3,NA,5.8,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,46.8,NA,5.1,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,46.8,NA,5.4,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,47.8,NA,5.1,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,48.5,NA,4.9,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,GAD3,2022-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,48.1,NA,4.9,NA,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
0,YanHaas,2022-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,45,NA,13,7,3.3,"RCN","https://www.rcnradio.com/politica/petro-y-los-indecisos-lideran-la-intencion-de-voto-en-la-gran-encuesta","Estratificado",NA,presencial,1234,NA
