"","fecha","vertical","Encuestadora","size","cand","horizontal"
"1",2022-06-02,49.5584988962472,"CNC",2172,"Gustavo Petro",1.56862620401662
"2",2022-06-10,48.1,"GAD3",NA,"Gustavo Petro",1.07432362691034
"3",2022-06-11,46.5,"Guarumo",2029,"Gustavo Petro",1.22853004257195
"4",2022-06-10,47.2,"Invamer",1329,"Gustavo Petro",1.02251399012748
"5",2022-06-09,46.2,"MassiveCaller",1000,"Gustavo Petro",1.00949580161832
"6",2022-06-08,43.83,"Mosqueteros",6000,"Gustavo Petro",1.68010683536995
"7",2022-06-11,48.3870967741936,"YanHaas",NA,"Gustavo Petro",1.23237951123156
"8",2022-06-02,45.2538631346578,"CNC",2172,"Rodolfo Hernández",2.16718245928641
"9",2022-06-10,46.8,"GAD3",NA,"Rodolfo Hernández",2.07331754534971
"10",2022-06-11,48.2,"Guarumo",2029,"Rodolfo Hernández",2.56313056240324
"11",2022-06-10,48.2,"Invamer",1329,"Rodolfo Hernández",2.67574633755721
"12",2022-06-09,53.8,"MassiveCaller",1000,"Rodolfo Hernández",2.00213915077038
"13",2022-06-08,44.68,"Mosqueteros",6000,"Rodolfo Hernández",2.35232511113863
"14",2022-06-11,37.6344086021505,"YanHaas",NA,"Rodolfo Hernández",2.0935580690857
