X.1,X.2,X.3,Petro,Fico,Fajardo,Hernández,Betancourt,fecha,federico_gutierrez,gustavo_petro,ingrid_betancourt,rodolfo_hernandez,sergio_fajardo
2022-02-05,CNC,9,27,4,6,14,7,2022-02-05,NA,NA,NA,NA,NA
2022-02-06,YanHaas,3.84,27,3,7,12,2,2022-02-06,NA,NA,NA,NA,NA
2022-02-08,CELAG,2.86,28.1,2.2,7.2,4.1,NA,2022-02-08,NA,NA,NA,NA,NA
2022-03-06,Guarumo,4.3,32.7,7.7,9.1,8.2,3.3,2022-03-06,NA,NA,NA,NA,NA
2022-03-12,AtlasIntel,4.4,35.2,11.4,11.3,11.2,1.5,2022-03-12,4.238455555555555,28.66475555555556,3.204833333333333,9.728144444444442,7.292233333333334
2022-03-20,CNC,9,32,23,10,10,3,2022-03-20,23,32,3,10.000000000000002,10.000000000000002
2022-03-21,YanHaas,3.84,37,19,10,11,2,2022-03-21,21.416375009308215,34.09527887407849,2.4883461166133,9.986931268151016,10.030866036190334
2022-03-21,MassiveCaller,1.45,33.5,22.1,10.1,8.9,2.4,2022-03-21,21.416375009308215,34.09527887407849,2.4883461166133,9.986931268151016,10.030866036190334
2022-03-29,MassiveCaller,1.45,32.4,27.6,12.3,9.5,2.6,2022-03-29,23.114006999776603,33.755752475984814,2.5500781889939685,10.172127485293023,10.709918832377692
2022-04-02,CNC,9,36.5,24.5,8.4,10,1.5,2022-04-02,23.661329957554546,35.397721349318644,2.002755231216025,10.172127485293023,10.12610767741455
2022-04-03,Guarumo,4.3,34,25,9.5,9.3,2.6,2022-04-03,23.993392687160537,35.05101069488773,2.150904305952181,9.955792597569854,9.970799036900162
2022-04-05,MassiveCaller,1.45,34.4,28.7,10.8,10.7,2.3,2022-04-05,24.24869813539392,35.51520241894843,2.0812755473430764,10.234307632006272,9.622655243854638
2022-04-07,CNC,9,34,23,9,12,2,2022-04-07,23.837140937342518,34.82927375552942,2.2184612800268773,10.783050562741474,9.787278123075202
2022-04-13,MassiveCaller,1.45,32.9,27.2,10,9.3,1.8,2022-04-13,23.48899714429699,34.4811299624839,2.102413349011703,10.458116355898987,9.601601433450922
2022-04-19,MassiveCaller,1.45,31.5,29.9,10.4,8.3,1.4,2022-04-19,24.115655971778935,34.15619575564141,2.0095750041995633,10.226020493868639,9.694439778263062
2022-04-21,CELAG,2.86,42.6,21.8,9.2,11.5,1,2022-04-21,23.667477986001355,35.790431248588845,1.814179272973583,10.472589749379091,9.598744637615715
2022-04-22,CNC,9,38,23.8,7.2,9.6,0.9,2022-04-22,23.844493113569655,36.67550688643035,1.570783472567171,9.941544366674192,9.20046060058704
2022-04-28,MassiveCaller,1.45,33.8,31.6,8.9,7.5,1.6,2022-04-28,24.162691352449766,37.10601038609167,1.6082185594942426,9.791804018965905,8.919697448634004
2022-04-29,Invamer,10,43.6,26.7,6.5,13.9,0.5,2022-04-29,24.404800006749166,37.93434765796915,1.399870922203209,10.431250465762746,8.419161922331162
2022-05-01,Guarumo,4.3,36.4,30.6,6.9,12.4,1.3,2022-05-01,25.318706803580998,38.3260219994685,1.1877139872243916,10.937163156866081,7.994848052373527
2022-05-04,MassiveCaller,1.45,35.2,30.4,8.1,8.8,1.5,2022-05-04,25.135468638173002,38.53979985911116,1.1724441401070587,11.135671169391408,7.8726892754348645
2022-05-10,YanHaas,3.84,40,21,7,12,1,2022-05-10,25.458474716640488,39.0243089768124,1.010941100873314,11.297174208625153,7.38818015773363
2022-05-12,MassiveCaller,1.45,35.8,28.9,8.7,10.7,2.2,2022-05-12,25.2294270098805,39.1159280595164,1.1178300306946438,11.587301303854476,7.479799240437627
2022-05-15,CNC,9,38,23,7,16,1,2022-05-15,25.085017358010905,39.1159280595164,1.1358812371783424,12.742578518811191,7.443696827470229
2022-05-16,TYSE,5.7,36.64,21.4,6.06,10.9,0.88,2022-05-16,24.554021635920105,38.75915709208805,1.0990098118620877,12.47707059413936,7.244311851858091
