X.1,X.2,X.3,Petro,Hernández,Blanco,fecha,gustavo_petro,rodolfo_hernandez
2022-05-31,CNC,8.1,45.88235294117647,48.23529411764706,5,2022-05-31,45.88235294117647,48.23529411764706
2022-06-01,GAD3,8.1,44.8,52.5,2.7,2022-06-01,45.34117647058823,50.36764705882352
2022-06-02,MassiveCaller,5.1,44.6,55.4,NA,2022-06-02,46.45813019751941,50.89087626876887
2022-06-02,CNC,8.1,49.558498896247244,45.25386313465784,3,2022-06-02,46.45813019751941,50.89087626876887
2022-06-02,GAD3,8.1,45.1,52.3,2.6,2022-06-02,46.45813019751941,50.89087626876887
2022-06-03,GAD3,8.1,45.6,50.4,4,2022-06-03,46.628335434603635,50.24409636784885
2022-06-04,GAD3,8.1,46.3,47.9,5.8,2022-06-04,46.86662276652154,49.393070182427756
2022-06-05,Guarumo,8,43.3,46.4,8.6,2022-06-05,45.72008134690384,47.59877480090336
2022-06-05,YanHaas,6.3,44.21052631578947,43.15789473684211,13,2022-06-05,45.72008134690384,47.59877480090336
2022-06-05,GAD3,8.1,46.8,48.1,5.1,2022-06-05,45.72008134690384,47.59877480090336
2022-06-07,GAD3,8.1,46.8,47.8,5.4,2022-06-07,45.72008134690384,47.53752692314444
2022-06-08,Mosqueteros,1,43.83,44.68,3.54,2022-06-08,45.61381476981398,46.99223189838334
2022-06-08,GAD3,8.1,47.8,47.1,5.1,2022-06-08,45.61381476981398,46.99223189838334
2022-06-09,MassiveCaller,5.1,46.2,53.8,NA,2022-06-09,45.99642503734832,46.66179082824596
2022-06-09,GAD3,8.1,48.5,46.7,4.9,2022-06-09,45.99642503734832,46.66179082824596
2022-06-10,Invamer,10,47.2,48.2,4.7,2022-06-10,46.12177331699493,46.91200656182741
2022-06-10,GAD3,8.1,48.1,46.8,4.9,2022-06-10,46.12177331699493,46.91200656182741
2022-06-11,Guarumo,8,46.5,48.2,5.3,2022-06-11,47.184159147442294,46.3935209279137
2022-06-11,GAD3,8.1,47.1,47.9,5,2022-06-11,47.184159147442294,46.3935209279137
2022-06-11,YanHaas,6.3,48.38709677419355,37.634408602150536,13,2022-06-11,47.184159147442294,46.3935209279137
