"","X.1","X.2","X.3","Petro","Hernández","Blanco"
"1",2022-05-31,"CNC",8.1,45.8823529411765,48.2352941176471,5
"2",2022-06-01,"GAD3",8.1,44.8,52.5,2.7
"3",2022-06-02,"MassiveCaller",5.1,44.6,55.4,NA
"4",2022-06-02,"CNC",8.1,49.5584988962472,45.2538631346578,3
"5",2022-06-02,"GAD3",8.1,45.1,52.3,2.6
"6",2022-06-03,"GAD3",8.1,45.6,50.4,4
"7",2022-06-04,"GAD3",8.1,46.3,47.9,5.8
"8",2022-06-05,"Guarumo",8,43.3,46.4,8.6
"9",2022-06-05,"YanHaas",3.6,44.2105263157895,43.1578947368421,13
"10",2022-06-05,"GAD3",8.1,46.8,48.1,5.1
"11",2022-06-07,"GAD3",8.1,46.8,47.8,5.4
"12",2022-06-08,"Mosqueteros",1,43.83,44.68,3.54
"13",2022-06-08,"GAD3",8.1,47.8,47.1,5.1
"14",2022-06-09,"MassiveCaller",5.1,46.2,53.8,NA
"15",2022-06-09,"GAD3",8.1,48.5,46.7,4.9
"16",2022-06-10,"Invamer",10,47.2,48.2,4.7
"17",2022-06-10,"GAD3",8.1,48.1,46.8,4.9
"18",2022-06-11,"Guarumo",8,46.5,48.2,5.3
"19",2022-06-11,"GAD3",8.1,47.1,47.9,5
"20",2022-06-11,"YanHaas",3.6,48.3870967741936,37.6344086021505,13
"21",2022-06-11,"AtlasIntel",5.4,47.5,50.2,2.4
